,college,address,state,town,zip,countyFIPS
0,Alabama A & M University,4900 Meridian Street,AL,Normal,35762,1089
1,University of Alabama at Birmingham,1720 2nd Avenue South,AL,Birmingham,35233,1073
2,UAB School of Optometry,1716 University Boulevard,AL,Birmingham,35294,1073
3,UAB School of Dentistry,Old Hillman Bldg 1919 7th Avenue South,AL,Birmingham,35233,1073
4,Amridge University,1200 Taylor Rd,AL,Montgomery,36117,1101
5,University of Alabama at Huntsville,301 Sparkman Dr,AL,Huntsville,35899,1089
6,Alabama State University,915 S Jackson Street,AL,Montgomery,36104,1101
7,The University of Alabama,739 University Boulevard,AL,Tuscaloosa,35487,1125
8,Central Alabama Community College,1675 Cherokee Road,AL,Alexander City,35010,1037
9,Childersburg Campus,34091 US Hwy. 280,AL,Childersburg,35044,1121
10,Alexander City Campus,1675 Cherokee Road PO Box 699,AL,Alexander City,35010,1037
11,Athens State University,300 N Beaty St,AL,Athens,35611,1083
12,Northeast Alabama CC,138 Lowell Barron Highway W,AL,Rainsville,35986,1049
13,Northwest - Shoals Alabama CC,800 George Wallace Road,AL,Muscle Shoals,35662,1033
14,Redstone Arsenal,Bldg. 3200Little John Road Athens State Universi,AL,Redstone Arsenal,35898,1089
15,Snead State CC,220 North Walnut Street,AL,Boaz,35957,1009
16,Wallace State Comm Coll - Hanceville,801 Main Street,AL,Hanceville,35077,1043
17,Auburn University-Montgomery,7440 East Drive P.O. Box 244023,AL,Montgomery,36117,1101
18,Auburn University Main Campus,107 Samford Hall,AL,Auburn University,36849,1081
19,Mobile Campus (Pharmacy),USA Rsch Park 650 Clinic DriveRm 2100,AL,Mobile,36688,1097
20,Birmingham Southern College,900 Arkadelphia Road,AL,Birmingham,35254,1073
21,Chattahoochee Valley Community College,2602 College Dr,AL,Phenix City,36869,1113
22,Concordia College Alabama,1804 Green Street,AL,Selma,36701,1001
23,DCH Regional Medical Center,809 University Blvd.East,AL,Tuscaloosa,35401,1125
24,Enterprise State Community College,600 Plaza Drive,AL,Enterprise,36330,1031
25,AAC at Mobile,1975 Ave C,AL,Mobile,36615,1097
26,AAC at Ozark,3405 Hwy 231 S,AL,Ozark,36360,1031
27,James H. Faulkner State Community College,1900 US Hwy 31 S,AL,Bay Minette,36507,1003
28,Faulkner State Fairhope Campus,440 Fairhope Ave,AL,Fairhope,36532,1003
29,Faulkner State Gulf Shores Campus,3301 Gulf Shores Pkwy,AL,Gulf Shores,36542,1003
30,Faulkner State at Daphne High School,9300 Lawson Rd,AL,Daphne,36526,1003
31,Faulkner University,5345 Atlanta Hwy,AL,Montgomery,36109,1101
32,FAULKNER UNIVERSITY-HUNTSVILLE,420 WYNN DR,AL,HUNTSVILLE,35805,1089
33,Birmingham,2200 Riverchase Center,AL,Birmingham,35244,1073
34,Mobile,917 Western American Circle,AL,Mobile,36609,1097
35,Gadsden Business College,3225 Rainbow Drive Suite 246,AL,Rainbow City,35906,1055
36,Gadsden Business College - Anniston Campus,1805 Hillyer Robinson Industrial ParkwaySuite B,AL,Anniston,36207,1015
37,Gadsden State Community College,1001 George Wallace Dr.,AL,Gadsden,35902,1055
38,Gadsden State Community College - Ayers Campus,1801 Coleman Road,AL,Anniston,36207,1015
39,George C Wallace Community College,1141 Wallace Drive,AL,Dothan,36303,1045
40,Ft. Rucker Center,Building 4502 Kingsman Street,AL,Fort Rucker,36362,1045
41,Sparks Campus,3235 South Eufaula Ave.,AL,Eufaula,36027,1005
42,Clanton Ext,2829 Fourth Avenue North,AL,Clanton,35045,1021
43,Wallace State Community College  - Hanceville,801 Main St. P. O. Box 2000,AL,Hanceville,35077,1043
44,George Corley Wallace State Community College - Selma,3000 Earl Goodwin Parkway,AL,Selma,36703,1001
45,Huntingdon College,1500 East Fairview Avenue,AL,Montgomery,36106,1101
46,Huntsville Hospital,101 Sivley Road,AL,Huntsville,35801,1089
47,Heritage Christian University,3625 Helton DrPO Box HCU,AL,Florence,35630,1077
48,J.F. Drake State Community and Technical College,3421 Meridian St North,AL,Huntsville,35811,1089
49,J F Ingram State Technical College,5375 Ingram Road,AL,Deatsville,36022,1001
50,"J. F. Ingram State Technical College, Donaldson Correctional Facility",100 Warrior Lane,AL,100 Warrior Lane,35023,1073
51,"J. F. Ingram State Technical College, Draper Instructional Service Center",2800 Alabama Highway 143,AL,Elmore,36025,1051
52,"J. F. Ingram State Technical College, Tutwiler Instructional Service Center",8970 U.S. Highway 231 North,AL,Wetumpka,36092,1051
53,"J. F. Ingram State Technical College, Bibb Correctional Facility",565 Bibb Lane,AL,Brent,35034,1007
54,Jacksonville State University,700 Pelham Road North,AL,Jacksonville,36265,1015
55,Jefferson Davis Community College,220 Alco Dr,AL,Brewton,36426,1035
56,Atmore,6574 Highway 21 PO Box 1119,AL,Atmore,36504,1053
57,Jefferson State Community College,2601 Carson Rd,AL,Birmingham,35215,1073
58,Richard M. Scrushy Campus,4600 Valleydale Rd,AL,Birmingham,35242,1073
59,Calhoun Community College,6250 U S Highway 31 N,AL,Tanner,35671,1083
60,Decatur Fire and Rescue Center,4119 Old Hwy 31SW,AL,Decatur,35603,1079
61,Judson College,302 Bibb St,AL,Marion,36756,1007
62,University of West Alabama,205 North Washington Street,AL,Livingston,35470,1119
63,Lurleen B Wallace Community College,1000 Dannelly Blvd.,AL,Andalusia,36420,1039
64,Lurleen B Wallace Community College - Greenville Campus,750 Greenville Bypass,AL,Greenville,36037,1013
65,Lurleen B Wallace Community College - Springdale,521 E. Three Notch Street,AL,Andalusia,36420,1039
