index,college,city,state,zip,county,countyFIPS
0,Community College of the Air Force,Montgomery,Alabama,36112,Montgomery County,1101
1,Community College of the Air Force,Fort Sam Houston,Texas,78234,Bexar County,48029
2,Alabama A & M University,Normal,Alabama,35762,Madison County,1089
3,University of Alabama at Birmingham,Birmingham,Alabama,35233,Jefferson County,1073
4,UAB School of Optometry,Birmingham,Alabama,35294,Jefferson County,1073
5,UAB School of Dentistry,Birmingham,Alabama,35233,Jefferson County,1073
6,Amridge University,Montgomery,Alabama,36117,Montgomery County,1101
7,University of Alabama at Huntsville,Huntsville,Alabama,35899,Madison County,1089
8,Alabama State University,Montgomery,Alabama,36104,Montgomery County,1101
9,The University of Alabama,Tuscaloosa,Alabama,35487,Tuscaloosa County,1125
10,Central Alabama Community College,Alexander City,Alabama,35010,Tallapoosa County,1037
11,Childersburg Campus,Childersburg,Alabama,35044,Talladega County,1121
12,Alexander City Campus,Alexander City,Alabama,35010,Tallapoosa County,1037
13,Athens State University,Athens,Alabama,35611,Limestone County,1083
14,Northeast Alabama CC,Rainsville,Alabama,35986,DeKalb County,1049
15,Northwest - Shoals Alabama CC,Muscle Shoals,Alabama,35662,Colbert County,1033
16,Redstone Arsenal,Redstone Arsenal,Alabama,35898,Madison County,1089
17,Snead State CC,Boaz,Alabama,35957,Marshall County,1009
18,Wallace State Comm Coll - Hanceville,Hanceville,Alabama,35077,Cullman County,1043
19,Auburn University-Montgomery,Montgomery,Alabama,36117,Montgomery County,1101
20,Auburn University Main Campus,Auburn University,Alabama,36849,Lee County,1081
21,Mobile Campus (Pharmacy),Mobile,Alabama,36688,Mobile County,1097
22,Birmingham Southern College,Birmingham,Alabama,35254,Jefferson County,1073
23,Chattahoochee Valley Community College,Phenix City,Alabama,36869,Russell County,1113
24,Concordia College Alabama,Selma,Alabama,36701,Dallas County,1001
25,DCH Regional Medical Center,Tuscaloosa,Alabama,35401,Tuscaloosa County,1125
26,Enterprise State Community College,Enterprise,Alabama,36330,Coffee County,1031
27,AAC at Mobile,Mobile,Alabama,36615,Mobile County,1097
28,AAC at Ozark,Ozark,Alabama,36360,Dale County,1031
29,James H. Faulkner State Community College,Bay Minette,Alabama,36507,Baldwin County,1003
30,Faulkner State Fairhope Campus,Fairhope,Alabama,36532,Baldwin County,1003
31,Faulkner State Gulf Shores Campus,Gulf Shores,Alabama,36542,Baldwin County,1003
32,Faulkner State at Daphne High School,Daphne,Alabama,36526,Baldwin County,1003
33,Faulkner University,Montgomery,Alabama,36109,Montgomery County,1101
34,Faulkner University-Huntsville,Huntsville,Alabama,35805,Madison County,1089
35,Birmingham,Birmingham,Alabama,35244,Jefferson County,1073
36,Mobile,Mobile,Alabama,36609,Mobile County,1097
37,Gadsden Business College,Rainbow City,Alabama,35906,Etowah County,1055
38,Gadsden Business College - Anniston Campus,Anniston,Alabama,36207,Calhoun County,1015
39,Gadsden State Community College,Gadsden,Alabama,35902,Etowah County,1055
40,Gadsden State Community College - Ayers Campus,Anniston,Alabama,36207,Calhoun County,1015
41,George C Wallace Community College,Dothan,Alabama,36303,Houston County,1045
42,Ft. Rucker Center,Fort Rucker,Alabama,36362,Dale County,1045
43,Sparks Campus,Eufaula,Alabama,36027,Barbour County,1005
44,Clanton Ext,Clanton,Alabama,35045,Chilton County,1021
45,Wallace State Community College  - Hanceville,Hanceville,Alabama,35077,Cullman County,1043
46,George Corley Wallace State Community College - Selma,Selma,Alabama,36703,Dallas County,1001
47,Huntingdon College,Montgomery,Alabama,36106,Montgomery County,1101
48,Huntsville Hospital,Huntsville,Alabama,35801,Madison County,1089
49,Heritage Christian University,Florence,Alabama,35630,Lauderdale County,1077
50,J.F. Drake State Community and Technical College,Huntsville,Alabama,35811,Madison County,1089
51,J F Ingram State Technical College,Deatsville,Alabama,36022,Elmore County,1001
52,"J. F. Ingram State Technical College, Donaldson Correctional Facility",100 Warrior Lane,Alabama,35023,Jefferson County,1073
53,"J. F. Ingram State Technical College, Draper Instructional Service Center",Elmore,Alabama,36025,Elmore County,1051
54,"J. F. Ingram State Technical College, Tutwiler Instructional Service Center",Wetumpka,Alabama,36092,Elmore County,1051
55,"J. F. Ingram State Technical College, Bibb Correctional Facility",Brent,Alabama,35034,Bibb County,1007
56,Jacksonville State University,Jacksonville,Alabama,36265,Calhoun County,1015
57,Jefferson Davis Community College,Brewton,Alabama,36426,Escambia County,1035
58,Atmore,Atmore,Alabama,36504,Escambia County,1053
59,Jefferson State Community College,Birmingham,Alabama,35215,Jefferson County,1073
60,Richard M. Scrushy Campus,Birmingham,Alabama,35242,Shelby County,1073
61,Calhoun Community College,Tanner,Alabama,35671,Limestone County,1083
62,Decatur Fire and Rescue Center,Decatur,Alabama,35603,Morgan County,1079
63,Judson College,Marion,Alabama,36756,Perry County,1007
64,University of West Alabama,Livingston,Alabama,35470,Sumter County,1119
65,Lurleen B Wallace Community College,Andalusia,Alabama,36420,Covington County,1039
66,Lurleen B Wallace Community College - Greenville Campus,Greenville,Alabama,36037,Butler County,1013
67,Lurleen B Wallace Community College - Springdale,Andalusia,Alabama,36420,Covington County,1039
68,MacArthur Campus,Opp,Alabama,36467,Covington County,1031
69,Marion Military Institute,Marion,Alabama,36756,Perry County,1007
70,Miles College,Fairfield,Alabama,35064,Jefferson County,1073
71,University of Mobile,Mobile,Alabama,36663,Mobile County,1097
72,University of Montevallo,Montevallo,Alabama,35115,Shelby County,1007
73,Northwest-Shoals Community College - Muscle Shoals,Muscle Shoals,Alabama,35661,Colbert County,1033
74,Phil Campbell Campus,Phil Campbell,Alabama,35581,Franklin County,1059
75,Shoals Campus,Muscle Shoals,Alabama,35661,Colbert County,1033
76,University of North Alabama,Florence,Alabama,35632,Lauderdale County,1077
77,Northeast Alabama Community College,Rainsville,Alabama,35986,DeKalb County,1049
79,Oakwood University,Huntsville,Alabama,35896,Madison County,1089
80,Alabama Southern Community College,Monroeville,Alabama,36460,Monroe County,1035
81,Jackson Campus,Jackson,Alabama,36545,Clarke County,1025
82,Thomasville Campus,Thomasville,Alabama,36784,Clarke County,1025
83,Gilbertown Campus,Gilbertown,Alabama,36908,Choctaw County,1023
84,Demopolis Campus,Demopolis,Alabama,36732,Marengo County,1091
85,Prince Institute - Southeast,Elmhurst,Illinois,60126,DuPage County,17031
86,Prince Institute - Great Lakes,Elmhurst,Illinois,60126,DuPage County,17031
87,Prince Institute - Rocky Mountains,Westminster,Colorado,80031,Adams County,8001
88,Reid State Technical College,Evergreen,Alabama,36401,Conecuh County,1035
89,Reid State Technical College Extension Campus,Evergreen,Alabama,36401,Conecuh County,1035
91,"Reid State Technical College, South Baldwin Transportation Site",Summerdale,Alabama,36580,Baldwin County,1003
